# factory_bfcl results — Qwen3-0.6B

## AST match rate per stage

| category | M1' DSL | M1' Native | M4' Repair | S1b mask off | S1b mask on | S2a SFT (holdout 20) | S2a SFT (full 100) | S2c +post-corr |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| simple_python | 0.760 | 0.810 | 0.720 | 0.750 | 0.750 | 0.650 | 0.800 | — |
| multiple | 0.700 | 0.760 | 0.690 | 0.700 | 0.690 | 0.400 | 0.790 | — |
| parallel | 0.020 | 0.000 | 0.050 | 0.500 | 0.040 | 0.450 | 0.760 | — |
| parallel_multiple | 0.060 | 0.000 | 0.070 | 0.460 | 0.000 | 0.500 | 0.750 | — |
| irrelevance | 0.660 | — | 0.660 | 0.610 | 0.610 | 1.000 | 1.000 | — |

## Syntax valid rate per stage

| category | M1' DSL | M1' Native | M4' Repair | S1b mask off | S1b mask on | S2a SFT (holdout 20) | S2a SFT (full 100) | S2c +post-corr |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| simple_python | 0.930 | 0.950 | 0.950 | 0.940 | 0.960 | 0.900 | 0.920 | — |
| multiple | 0.960 | 0.960 | 0.950 | 0.940 | 0.980 | 0.950 | 0.950 | — |
| parallel | 0.880 | 0.960 | 0.930 | 0.930 | 0.970 | 0.900 | 0.960 | — |
| parallel_multiple | 0.870 | 0.950 | 0.910 | 0.980 | 0.990 | 0.950 | 0.990 | — |
| irrelevance | 0.950 | — | 0.930 | 0.970 | 1.000 | 1.000 | 1.000 | — |

